Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1763960013,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1763960014,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1763960015,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1763960016,200,,Aggregated,0.000000,0.000000,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,4,0,3066.1952000000383,3060.6237500000475,3054.7891000001073,3066.1952000000383,854.0
1763960017,200,,Aggregated,0.000000,0.000000,3100,3100,3800,3900,4000,4000,4000,4000,4000,4000,4000,9,0,3100.0,2988.375344444497,19.98239999988982,3981.708400000116,779.6666666666666
1763960018,200,,Aggregated,0.000000,0.000000,3800,3900,4000,4800,4900,4900,4900,4900,4900,4900,4900,13,0,3800.0,3485.2112384615584,19.98239999988982,4918.6657999998715,800.8461538461538
1763960019,200,,Aggregated,1.250000,0.000000,3100,3900,4700,4800,5700,5800,5800,5800,5800,5800,5800,26,0,3100.0,3092.6174615384516,4.727699999875767,5801.767700000028,593.8461538461538
1763960020,200,,Aggregated,1.250000,0.000000,3100,3800,4700,4900,5700,5800,6500,6500,6500,6500,6500,34,0,3100.0,3079.8671999999933,4.727699999875767,6547.445200000084,552.2941176470588
1763960021,200,,Aggregated,2.333333,0.000000,3100,3800,4700,4900,5800,6500,7300,7300,7300,7300,7300,46,0,3000.0,3192.727754347822,4.727699999875767,7333.319600000095,499.60869565217394
1763960022,200,,Aggregated,4.857143,0.000000,3000,3900,4900,5500,6500,8000,8200,9000,9000,9000,9000,58,0,2700.0,3310.268831034478,4.727699999875767,8992.159299999912,479.8103448275862
1763960023,200,,Aggregated,4.625000,0.000000,3000,4000,5300,5800,7100,8200,9000,9700,9700,9700,9700,63,0,3000.0,3488.9956952380885,4.727699999875767,9735.837599999968,486.25396825396825
1763960024,200,,Aggregated,5.333333,0.000000,2700,4000,5500,5800,7700,9000,9700,10000,10000,10000,10000,72,0,2700.0,3590.797752777772,4.727699999875767,10392.752500000142,470.7361111111111
1763960025,200,,Aggregated,5.900000,0.000000,2600,4000,5700,6300,8600,9700,11000,12000,12000,12000,12000,84,0,2300.0,3738.986046428569,4.727699999875767,12043.092200000046,452.20238095238096
1763960026,200,,Aggregated,6.400000,0.000000,2700,4700,5800,6900,9400,11000,12000,13000,13000,13000,13000,88,0,2600.0,3977.104481818182,4.727699999875767,12949.889500000154,461.875
1763960027,200,,Aggregated,7.500000,0.000000,2700,4800,6300,7300,10000,11000,13000,14000,14000,14000,14000,96,0,2600.0,4185.244598958333,4.727699999875767,13667.05079999997,509.8333333333333
1763960028,200,,Aggregated,8.600000,0.000000,2300,4800,6500,8000,11000,12000,14000,14000,15000,15000,15000,107,0,2300.0,4388.840214018693,4.727699999875767,14593.121899999915,496.10280373831773
1763960029,200,,Aggregated,8.700000,0.000000,2300,4800,6900,8600,11000,13000,15000,15000,15000,15000,15000,115,0,2300.0,4508.854735652176,4.727699999875767,15408.978400000024,486.5652173913044
1763960030,200,,Aggregated,9.200000,0.000000,2300,4900,7300,9000,12000,14000,16000,16000,17000,17000,17000,123,0,2300.0,4778.445595934962,4.727699999875767,17070.38620000003,486.5121951219512
1763960031,200,,Aggregated,9.500000,0.000000,2300,4900,7700,9400,13000,15000,17000,17000,18000,18000,18000,131,0,2300.0,4927.860949618325,4.727699999875767,17816.375699999982,479.7022900763359
1763960032,200,,Aggregated,8.500000,0.000000,2300,5500,8200,10000,14000,16000,17000,18000,19000,19000,19000,137,0,2300.0,5194.692431386866,4.727699999875767,18601.996899999904,480.8175182481752
1763960033,200,,Aggregated,9.000000,0.000000,2300,5700,8900,11000,15000,17000,19000,19000,20000,20000,20000,150,0,2300.0,5454.493252000006,4.727699999875767,20174.702900000055,474.26666666666665
1763960034,200,,Aggregated,8.700000,0.000000,2300,5700,9400,11000,16000,18000,19000,20000,21000,21000,21000,160,0,2200.0,5647.395788125004,4.727699999875767,21140.51879999988,469.90625
1763960035,200,,Aggregated,8.700000,0.000000,2300,5800,9700,12000,17000,19000,20000,21000,22000,22000,22000,165,0,2300.0,5852.538818787883,4.727699999875767,22015.14350000002,472.8363636363636
1763960036,200,,Aggregated,9.000000,0.000000,2200,5800,9700,12000,17000,19000,21000,22000,23000,23000,23000,174,0,2200.0,5993.174545402303,4.727699999875767,22799.29889999994,466.5632183908046
1763960037,200,,Aggregated,8.600000,0.000000,2200,5800,10000,12000,17000,20000,22000,23000,24000,24000,24000,184,0,2200.0,6086.160245652175,4.727699999875767,23648.026300000085,482.0597826086956
1763960038,200,,Aggregated,8.400000,0.000000,2200,5800,10000,13000,18000,21000,23000,24000,24000,24000,24000,195,0,2200.0,6179.387115897439,4.727699999875767,24440.614900000128,472.4717948717949
1763960039,200,,Aggregated,8.600000,0.000000,2200,6100,11000,14000,19000,22000,24000,25000,26000,26000,26000,207,0,2200.0,6563.732404347829,4.727699999875767,26137.754000000088,473.30434782608694
1763960040,200,,Aggregated,8.800000,0.000000,2200,6300,11000,14000,20000,23000,25000,26000,27000,27000,27000,213,0,2200.0,6760.8062892018825,4.727699999875767,26865.90649999994,473.6244131455399
1763960041,200,,Aggregated,9.000000,0.000000,2200,6300,11000,15000,21000,24000,26000,27000,28000,28000,28000,222,0,2200.0,6906.861194144149,4.727699999875767,27724.173599999856,469.15315315315314
1763960042,200,,Aggregated,8.800000,0.000000,2200,6300,12000,15000,22000,25000,27000,28000,29000,29000,29000,233,0,2200.0,7104.72722103005,4.727699999875767,29157.187499999964,464.6351931330472
1763960043,200,,Aggregated,8.800000,0.000000,2200,6300,12000,15000,22000,25000,28000,29000,30000,30000,30000,242,0,2200.0,7220.905752892568,4.727699999875767,29797.248500000023,461.44214876033055
1763960044,200,,Aggregated,8.800000,0.000000,2200,6300,12000,16000,23000,26000,28000,30000,31000,31000,31000,252,0,2200.0,7318.8887083333375,4.727699999875767,30654.07409999989,456.0952380952381
1763960045,200,,Aggregated,8.700000,0.000000,2200,6300,12000,16000,24000,27000,29000,31000,32000,32000,32000,262,0,2200.0,7529.95117709924,4.727699999875767,31570.451800000003,453.90076335877865
1763960046,200,,Aggregated,8.800000,0.000000,2200,6900,13000,17000,24000,28000,31000,32000,33000,33000,33000,272,0,2200.0,7864.3131474264765,4.727699999875767,33325.22960000006,454.8382352941176
1763960047,200,,Aggregated,9.300000,0.000000,2200,6900,14000,17000,25000,29000,32000,33000,34000,34000,34000,280,0,2200.0,8021.162228214292,4.727699999875767,34245.31270000011,452.4357142857143
1763960048,200,,Aggregated,9.400000,0.000000,2200,6900,14000,18000,26000,30000,32000,34000,35000,35000,35000,290,0,2200.0,8123.004512758625,4.727699999875767,34918.51499999984,447.4896551724138
1763960049,200,,Aggregated,9.400000,0.000000,2300,9600,16000,19000,26000,30000,33000,34000,36000,36000,36000,336,0,2300.0,8875.345004464281,4.727699999875767,35710.378900000025,415.3154761904762
1763960050,200,,Aggregated,9.200000,0.000000,2300,9700,16000,20000,27000,31000,34000,35000,36000,36000,36000,345,0,2300.0,9057.456081739127,4.727699999875767,36452.782500000016,415.98840579710145
1763960051,200,,Aggregated,9.300000,0.000000,2300,7100,14000,18000,26000,31000,34000,35000,36000,36000,36000,389,0,2300.0,8359.907406940865,4.727699999875767,36452.782500000016,404.0668380462725
1763960052,200,,Aggregated,13.100000,0.000000,2300,6500,14000,18000,27000,32000,35000,36000,38000,38000,38000,407,0,2300.0,8292.721261916455,4.727699999875767,38313.61400000015,406.45700245700243
1763960053,200,,Aggregated,13.100000,0.000000,2200,6300,14000,18000,27000,32000,35000,36000,39000,39000,39000,417,0,2200.0,8288.007168824934,4.727699999875767,39175.789699999994,402.63549160671465
1763960054,200,,Aggregated,17.000000,0.000000,2200,4900,12000,17000,26000,32000,36000,37000,40000,40000,40000,452,0,2200.0,7959.906667256632,4.727699999875767,40037.473899999895,382.71017699115043
1763960055,200,,Aggregated,17.700000,0.000000,2200,3800,11000,17000,27000,32000,36000,39000,41000,41000,41000,480,0,2200.0,7802.733543541663,4.727699999875767,41003.71629999995,371.59375
1763960056,200,,Aggregated,17.500000,0.000000,2200,3600,11000,16000,27000,33000,37000,40000,42000,42000,42000,493,0,2200.0,7782.072029614602,4.727699999875767,41876.04970000007,367.61663286004057
1763960057,200,,Aggregated,20.000000,0.000000,2200,6300,15000,19000,28000,34000,38000,40000,43000,43000,43000,559,0,2200.0,8752.770818067986,4.727699999875767,42767.204300000005,344.86940966010735
1763960058,200,,Aggregated,22.000000,0.000000,2200,5500,14000,19000,28000,34000,39000,41000,43000,43000,43000,585,0,2200.0,8579.32212769231,4.727699999875767,42776.99490000009,344.24615384615385
1763960059,200,,Aggregated,22.200000,0.000000,2200,3100,11000,17000,28000,34000,39000,41000,44000,44000,44000,652,0,2200.0,8046.074216564419,4.727699999875767,43736.602299999955,332.9631901840491
1763960060,200,,Aggregated,28.200000,0.000000,2200,2700,9800,16000,28000,34000,40000,42000,45000,45000,45000,690,0,2200.0,7755.0794413043495,4.727699999875767,44917.568300000086,322.60434782608695
1763960061,200,,Aggregated,30.100000,0.000000,2200,2600,9000,15000,27000,34000,40000,43000,46000,46000,46000,720,0,2200.0,7599.517787361116,4.727699999875767,45822.05130000011,315.025
1763960062,200,,Aggregated,31.800000,0.000000,2200,3000,11000,17000,28000,35000,40000,43000,47000,47000,47000,822,0,2200.0,8163.2672276155745,4.727699999875767,46935.39140000007,294.9367396593674
1763960063,200,,Aggregated,35.000000,0.000000,2200,2600,9700,16000,28000,35000,40000,43000,48000,48000,48000,866,0,2200.0,7862.403751154736,4.727699999875767,48140.643099999805,291.2078521939954
1763960064,200,,Aggregated,33.000000,0.000000,2200,2600,8200,15000,28000,35000,40000,43000,48000,48000,48000,916,0,2200.0,7539.427580131006,4.727699999875767,48140.643099999805,288.90393013100436
1763960065,200,,Aggregated,41.500000,0.000000,2200,2600,5900,12000,27000,34000,40000,43000,50000,50000,50000,989,0,2200.0,7191.298373003037,4.727699999875767,49915.94940000004,280.49241658240646
1763960066,200,,Aggregated,45.300000,0.000000,2200,2500,4500,11000,26000,34000,40000,43000,50000,51000,51000,1051,0,2200.0,6879.1808096098985,4.727699999875767,51043.67490000004,278.03330161750716
1763960067,200,,Aggregated,46.800000,0.000000,2200,2400,3400,9600,25000,34000,40000,43000,51000,52000,52000,1115,0,2200.0,6612.782190224222,4.727699999875767,52185.80839999981,286.5587443946188
1763960068,200,,Aggregated,50.600000,0.000000,2200,2300,3100,8000,24000,33000,40000,44000,52000,53000,53000,1177,0,2200.0,6387.297833644867,4.727699999875767,53455.665899999985,287.4587935429057
1763960069,200,,Aggregated,56.000000,0.000000,2200,2300,2900,6600,24000,33000,40000,44000,53000,54000,54000,1226,0,2200.0,6227.324206688423,4.727699999875767,54346.66519999996,287.5179445350734
1763960070,200,,Aggregated,55.400000,0.000000,2200,2300,2700,5100,23000,32000,40000,44000,54000,55000,55000,1301,0,2200.0,5993.057276325911,4.727699999875767,55407.95079999998,290.66487317448116
1763960071,200,,Aggregated,58.400000,0.000000,2100,2300,2600,3800,22000,32000,40000,44000,55000,56000,56000,1370,0,2100.0,5803.622873868622,4.727699999875767,56446.17519999997,295.7211678832117
1763960072,200,,Aggregated,57.000000,0.000000,2100,2300,2500,3400,21000,32000,40000,44000,56000,57000,57000,1436,0,2100.0,5625.053364066859,4.727699999875767,57369.67500000014,294.69359331476323
1763960074,200,,Aggregated,60.600000,0.000000,2100,2200,2400,3100,20000,31000,40000,44000,56000,57000,57000,1504,0,2100.0,5429.102164893625,4.727699999875767,57369.67500000014,295.8503989361702
