Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1763958629,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1763958630,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1763958631,60,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1763958633,80,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1763958634,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1763958635,100,,Aggregated,0.000000,0.000000,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4,0,4800.0,4793.971275000004,4775.947599999995,4806.393500000013,857.5
1763958636,100,,Aggregated,0.000000,0.000000,5400,5400,5500,6000,6000,6100,6100,6100,6100,6100,6100,14,0,4800.0,4343.651899999997,4.520399999989877,6056.05399999996,709.1428571428571
1763958637,100,,Aggregated,0.000000,0.000000,5400,6000,6100,6100,6700,6700,6700,6700,6700,6700,6700,19,0,5400.0,4765.6727894736805,4.520399999989877,6708.212899999979,746.6842105263158
1763958638,100,,Aggregated,0.666667,0.000000,4800,5500,6100,6600,7300,7300,7900,7900,7900,7900,7900,36,0,4800.0,4242.268699999999,4.520399999989877,7860.024800000019,627.3055555555555
1763958639,100,,Aggregated,2.375000,0.000000,4800,5400,6100,6500,7300,7300,8500,8500,8500,8500,8500,48,0,4800.0,4074.7777979166676,4.520399999989877,8468.281100000013,585.8125
1763958640,100,,Aggregated,2.375000,0.000000,4800,5700,6200,6700,7300,7900,8200,8500,8500,8500,8500,54,0,4800.0,4297.013301851852,4.520399999989877,8468.281100000013,603.3518518518518
1763958641,100,,Aggregated,4.000000,0.000000,4800,5700,6500,6700,7500,8200,8500,9000,9000,9000,9000,68,0,4800.0,4352.805320588236,4.520399999989877,9008.468499999992,555.7058823529412
1763958642,100,,Aggregated,4.700000,0.000000,4300,5700,6500,6800,7700,8400,9000,11000,11000,11000,11000,82,0,4300.0,4528.95157682927,4.520399999989877,10695.18069999998,567.890243902439
1763958643,100,,Aggregated,6.800000,0.000000,4800,6100,6800,7300,8500,9400,11000,11000,11000,11000,11000,90,0,4500.0,4829.441003333335,4.520399999989877,11318.366300000036,577.5888888888888
1763958644,100,,Aggregated,6.800000,0.000000,4500,6100,7000,7500,8900,11000,11000,12000,12000,12000,12000,98,0,4300.0,4767.458826530614,4.520399999989877,11707.967300000008,606.1020408163265
1763958645,100,,Aggregated,8.800000,0.000000,4300,6100,7300,7900,10000,11000,12000,13000,13000,13000,13000,109,0,4300.0,4906.072826605506,4.520399999989877,13382.295899999974,591.0642201834862
1763958646,100,,Aggregated,8.800000,0.000000,4300,6200,7300,8200,11000,12000,13000,13000,14000,14000,14000,119,0,4300.0,5039.618947058824,4.520399999989877,13651.855300000023,573.453781512605
1763958647,100,,Aggregated,10.300000,0.000000,4300,6500,7700,8800,12000,13000,14000,14000,16000,16000,16000,130,0,4300.0,5317.993076923079,4.520399999989877,16096.343399999967,569.0384615384615
1763958648,100,,Aggregated,10.700000,0.000000,4300,6600,8100,9000,12000,14000,15000,16000,17000,17000,17000,139,0,4300.0,5460.703591366909,4.520399999989877,16719.052000000032,561.1223021582733
1763958649,100,,Aggregated,10.800000,0.000000,4600,7000,8500,10000,13000,14000,16000,17000,18000,18000,18000,170,0,4500.0,5748.473544705885,4.520399999989877,18142.74260000002,509.3941176470588
1763958650,100,,Aggregated,10.100000,0.000000,4600,7200,8800,10000,13000,15000,17000,18000,18000,18000,18000,199,0,4600.0,5836.702082914575,4.520399999989877,18142.74260000002,468.7286432160804
